No.,Player Name,Position,Team
1.0,Nobre Cardoso G Filomeno Lara,MB,BRA
2.0,Duarte Alecrim Diana,MB,BRA
4.0,Viezel Lorena Giovana,MB,BRA
8.0,Silva Carneiro Macris Fernanda,S,BRA
11.0,Basso Maiara,MB,BRA
12.0,Menezes Oliveira de Souza Ana Cristina,OH,BRA
14.0,Araujo Natália,L,BRA
15.0,Da Silva Ana Carolina,MB,BRA
16.0,Nascimento Kisy,O,BRA
17.0,Bergmann Julia Isabelle,OH,BRA
18.0,Da Silva Lorrayna,O,BRA
19.0,Lemes Santos Tainara,OH,BRA
20.0,Vasques Lais,L,BRA
21.0,Rios Naiane De Almeida,S,BRA
,José Roberto Guimaraes,COACH,BRA
4.0,Savard Vicky,OH,CAN
5.0,Murmann Julia,L,CAN
6.0,White Jazmine Ruth,MB,CAN
7.0,Van Buskirk Layne,MB,CAN
9.0,Gray Alexa,OH,CAN
11.0,Mitrovic Andrea,OH,CAN
13.0,King Brie,S,CAN
14.0,Howe Hilary,OH,CAN
15.0,Joseph Shainah,O,CAN
16.0,Livingston Caroline,OH,CAN
17.0,Jost Kacey,L,CAN
18.0,Robitaille Kim,S,CAN
19.0,Maglio Emily,MB,CAN
21.0,Heppell Avery,MB,CAN
,Shannon Winzer,COACH,CAN
4.0,Neykova Polina,S,BUL
5.0,Yordanova Maria,OH,BUL
6.0,Paskova-Kaneva Miroslava,OH,BUL
7.0,Nikolova Simona,O,BUL
8.0,Barakova Petya,S,BUL
9.0,Becheva Elena,OH,BUL
10.0,Todorova Mira,MB,BUL
11.0,Krivoshiyska Mariya,MB,BUL
13.0,Pashkuleva Mila,L,BUL
14.0,Saykova Borislava,MB,BUL
17.0,Marinova Radostina,O,BUL
21.0,Krasteva Monika,OH,BUL
23.0,Karabasheva Galina,L,BUL
28.0,Nikolova Merelin,O,BUL
,Lorenzo Micelli,COACH,BUL
1.0,Yuan Xinyue,MB,CHN
3.0,Diao Linyu,S,CHN
4.0,Yang Hanyu,MB,CHN
5.0,Gao Yi,MB,CHN
6.0,Gong Xiangyu,O,CHN
7.0,Wang Yuanyuan,MB,CHN
8.0,Xu Xiaoting,S,CHN
10.0,Wang Yunlu,OH,CHN
11.0,Zhong Hui,OH,CHN
12.0,Li Yingying,OH,CHN
14.0,Zheng Yixin,O,CHN
17.0,Ni Feifan,L,CHN
18.0,Wang Mengjie,L,CHN
23.0,Du Qingqing,OH,CHN
,Bin Cai,COACH,CHN
1.0,Antunović Karla,S,CRO
2.0,Mihaljević Andrea,O,CRO
3.0,Strunjak Ema,MB,CRO
6.0,Deak Lea,S,CRO
7.0,Miloš Laura,OH,CRO
10.0,Karatović Dijana,OH,CRO
11.0,Strize Nina,OH,CRO
12.0,Marković Josipa,OH,CRO
14.0,Šamadan Martina,MB,CRO
15.0,Trcol Viktoria Ana,MB,CRO
17.0,Kovco Tia,L,CRO
19.0,Štimac Izabela,L,CRO
20.0,Tomić Natalia,OH,CRO
22.0,Freund Mirta,MB,CRO
,Ferhat Akbas,COACH,CRO
2.0,Rodriguez Duran Yaneirys,L,DOM
3.0,Eve Mejia Lisvel Elisa,U,DOM
4.0,Peralta Luna Vielka Michelle,OH,DOM
7.0,Marte Frica Niverka Dharlenis,S,DOM
8.0,Tapia Cruz Alondra Denis,MB,DOM
9.0,Hinojosa Diaz Angelica Maria,MB,DOM
11.0,Gonzalez Geraldine Sthefany,MB,DOM
12.0,Perez Javier Yokaty,S,DOM
16.0,Peña Isabel Yonkaira Paola,OH,DOM
20.0,Martinez Brayelin Elizabeth,OH,DOM
21.0,Martinez Jineiry,MB,DOM
23.0,Gonzalez Lopez Gaila Ceneida,O,DOM
25.0,Martinez Caro Larysmer,L,DOM
,Marcos Kwiek,COACH,DOM
1.0,Agbortabi Vanessa,OH,GER
2.0,Kästner Pia,S,GER
3.0,Cesar Annie,L,GER
4.0,Pogany Anna,L,GER
5.0,Glaab Corina,S,GER
6.0,Stautz Antonia,OH,GER
9.0,Alsmeier Lina,OH,GER
10.0,Stigrot Lena,OH,GER
12.0,Orthmann Hanna,OH,GER
14.0,Schölzel Marie,MB,GER
16.0,Cekulaev Anastasia,MB,GER
21.0,Weitzel Camilla,MB,GER
22.0,Strubbe Monique,MB,GER
25.0,Maase Rica,O,GER
,Vital Heynen,COACH,GER
2.0,Degradi Alice Carlotta,OH,ITA
4.0,Bosio Francesca,S,ITA
5.0,Battistoni Ilaria,S,ITA
11.0,Danesi Anna,MB,ITA
12.0,Mazzaro Alessia,MB,ITA
15.0,Nwakalor Sylvia Chinelo,O,ITA
16.0,D'Odorico Sofia,OH,ITA
17.0,Sylla Myriam Fatime,OH,ITA
19.0,Squarcini Federica,MB,ITA
20.0,Parrocchiale Beatrice,L,ITA
21.0,Omoruyi Oghosasere Loveth,OH,ITA
22.0,Panetoni Sara,L,ITA
32.0,Malual Adhuoljok John Majak,O,ITA
34.0,Nwakalor Linda Nkiruka,MB,ITA
,Davide Mazzanti,COACH,ITA
2.0,Hayashi Kotona,OH,JPN
3.0,Nishida Sarina,OH,JPN
5.0,Shimamura Haruyo,MB,JPN
6.0,Seki Nanami,S,JPN
10.0,Inoue Arisa,OH,JPN
15.0,Kojima Manami,L,JPN
17.0,Tanaka Mizuki,OH,JPN
20.0,Yokota Mami,MB,JPN
21.0,Matsui Tamaki,S,JPN
24.0,Irisawa Mai,MB,JPN
29.0,Nishimura Minami,L,JPN
31.0,Nishikawa Yuki,OH,JPN
34.0,Araki Ayaka,MB,JPN
37.0,Wada Yukiko,OH,JPN
,Masayoshi Manabe,COACH,JPN
2.0,Lee Juah,MB,KOR
3.0,Yeum Hye Seon,S,KOR
5.0,Kim Dain,S,KOR
6.0,Park Eunjin,MB,KOR
8.0,Shin Yeongyeong,L,KOR
12.0,Moon Jungwon,L,KOR
13.0,Park Jeongah,OH,KOR
14.0,Lee Dahyeon,MB,KOR
16.0,Jeong Jiyun,OH,KOR
17.0,Jung Hoyoung,MB,KOR
18.0,Kim Miyoun,OH,KOR
19.0,Pyo Seungju,OH,KOR
71.0,Moon Jiyun,O,KOR
97.0,Kang Sohwi,OH,KOR
,Cesar Hernandez Gonzalez,COACH,KOR
1.0,Knip Kirsten,L,NED
3.0,Jasper Hester,OH,NED
5.0,Knollema Jolien,OH,NED
10.0,van Aalen Sarah,S,NED
13.0,de Haan Jolijn,O,NED
14.0,Dijkema Laura,S,NED
16.0,Baijens Indy,MB,NED
17.0,Vos Iris,OH,NED
21.0,Stuut Britte,MB,NED
23.0,Timmerman Eline,MB,NED
24.0,Mulder Vera,OH,NED
25.0,Reesink Florien,L,NED
26.0,Dambrink Elles,O,NED
33.0,Marring Nova,OH,NED
,Felix Koslowski,COACH,NED
1.0,Stenzel Maria,L,POL
5.0,Korneluk Agnieszka,MB,POL
6.0,Witkowska Kamila,MB,POL
7.0,Galkowska Monika,O,POL
9.0,Stysiak Magdalena,O,POL
10.0,Fedusio Monika,OH,POL
11.0,Lukasik Martyna,OH,POL
12.0,Szczyglowska Aleksandra,L,POL
15.0,Czyrnianska Martyna,OH,POL
26.0,Wenerska Katarzyna,S,POL
27.0,Pacak Joanna,MB,POL
30.0,Rozanski Olivia,OH,POL
62.0,Nowicka Julia,S,POL
95.0,Jurczyk Magdalena,MB,POL
,Stefano Lavarini,COACH,POL
1.0,Busa Bianka,OH,SRB
2.0,Lazovic Katarina,OH,SRB
4.0,Drca Bojana,S,SRB
5.0,Popovic Mina,MB,SRB
8.0,Mirkovic Sladjana,S,SRB
9.0,Uzelac Aleksandra,OH,SRB
11.0,Kurtagic Hena,MB,SRB
12.0,Pusic Teodora,L,SRB
13.0,Bjelica Ana,O,SRB
14.0,Aleksic Maja,MB,SRB
16.0,Jegdic Aleksandra,L,SRB
19.0,Milenkovic Bojana,OH,SRB
22.0,Lozo Sara,O,SRB
31.0,Taubner Tara,O,SRB
,Giovanni Guidetti,COACH,SRB
1.0,Srithong Wipawee,OH,THA
2.0,Pannoy Piyanut,L,THA
3.0,Guedpard Pornpun,S,THA
4.0,Kamlangmak Chitaporn,MB,THA
5.0,Nuekjang Thatdao,MB,THA
12.0,Bamrungsuk Hattaya,MB,THA
16.0,Kokram Pimpichaya,O,THA
17.0,Janthawisut Sasipapron,OH,THA
18.0,Kongyot Ajcharaporn,OH,THA
19.0,Moksri Chatchu-On,OH,THA
20.0,Pairoj Supattra,L,THA
21.0,Sooksod Thanacha,O,THA
23.0,ManaKij Sirima,S,THA
99.0,Bundasak Jarasporn,MB,THA
,Danai Sriwacharamaytakul,COACH,THA
1.0,Orge Gizem,L,TUR
2.0,Akoz Simge Sebnem,L,TUR
3.0,Özbay Cansu,S,TUR
4.0,Vargas Melissa Teresa,O,TUR
6.0,Akman Kubra,MB,TUR
7.0,Baladin Hande,OH,TUR
11.0,Cebecioglu Derya,OH,TUR
12.0,Şahin Elif,S,TUR
14.0,Erdem Dündar Eda,MB,TUR
16.0,Sahin Saliha,OH,TUR
18.0,Gunes Zehra,MB,TUR
19.0,Kalac Asli,MB,TUR
22.0,Aydin İlkin,OH,TUR
99.0,Karakurt Ebrar,O,TUR
,Daniele Santarelli,COACH,TUR
1.0,Hancock Micha,S,USA
4.0,Wong-Orantes Justine,L,USA
6.0,Hentz Morgan,L,USA
8.0,Butler Brionne,MB,USA
11.0,Drews Andrea,O,USA
16.0,Rettke Dana,MB,USA
20.0,Cuttino Danielle,O,USA
25.0,Nuneviller Brooke,OH,USA
26.0,O'Neal Asjia,MB,USA
27.0,Skinner Avery,OH,USA
28.0,Evans Ashley,S,USA
29.0,Lanier Khalia,OH,USA
31.0,Perry Veronica,OH,USA
36.0,Gates Madeleine,MB,USA
,Karch Kiraly,COACH,USA
